sku,title,url
11750356,Refrigerador LG Side by Side GS65SDN New Lancaster com Painel Touch 601L - Inox,https://www.extra.com.br/refrigerador-lg-side-by-side-gs65sdn-new-lancaster-com-painel-touch-601l-inox/p/11750356
55003922,Refrigerador Samsung French Door RF22R7351SR com Food Showcase e Gaveta FlexZone Inox - 501L,https://www.extra.com.br/refrigerador-samsung-french-door-rf22r7351sr-com-food-showcase-e-gaveta-flexzone-inox-501l/p/55003922
1512288086,Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT40BD1W 387 Litros Branco,https://www.extra.com.br/geladeira-refrigerador-panasonic-frost-free-2-portas-nr-bt40bd1w-387-litros-branco/p/1512288086
55003921,Refrigerador Samsung Inverter French Door RF23R6301SR/AZ com Twin Cooling Plus e SmartThings (Wi-Fi) Inox - 530L,https://www.extra.com.br/refrigerador-samsung-inverter-french-door-rf23r6301sr-az-com-twin-cooling-plus-e-smartthings-wi-fi-inox-530l/p/55003921
1511322557,Geladeira Samsung Frost Free Duplex BAROSA com Smart Sensor e Dispenser de Água 432L Inox Look 220V,https://www.extra.com.br/geladeira-samsung-frost-free-duplex-barosa-com-smart-sensor-e-dispenser-de-agua-432l-inox-look-220v/p/1511322557
15182525,Geladeira/Refrigerador TF55 Top Freezer 431L ,https://www.extra.com.br/geladeira-refrigerador-tf55-top-freezer-431l/p/15182525
13791185,Geladeira Refrigerador Panasonic Frost Free 483 Litros BT55 - Inox,https://www.extra.com.br/geladeira-refrigerador-panasonic-frost-free-483-litros-bt55-inox/p/13791185
15127021,Geladeira/Refrigerador Top Freezer 431L,https://www.extra.com.br/geladeira-refrigerador-top-freezer-431l/p/15127021
1513060333,"Refrigerador Vitrine Metalfrio 572 Litros VB52AH Optima Frost Free, Porta de Vidro, Branco",https://www.extra.com.br/refrigerador-vitrine-metalfrio-572-litros-vb52ah-optima-frost-free-porta-de-vidro-branco/p/1513060333
1512546720,Geladeira Consul 342 litros Frost Free com Gavetão Hortifruti 220V 220V,https://www.extra.com.br/geladeira-consul-342-litros-frost-free-com-gavetao-hortifruti-220v-220v/p/1512546720
55019807,Refrigerador Brastemp Gourmand Frost Free Side Inverse BRO81AR com Ice Maker 540L - Inox,https://www.extra.com.br/refrigerador-brastemp-gourmand-frost-free-side-inverse-bro81ar-com-ice-maker-540l-inox/p/55019807
1516550716,Geladeira Duplex Consul 340 Litros Frost Free Evox CRM39AK - 110V,https://www.extra.com.br/geladeira-duplex-consul-340-litros-frost-free-evox-crm39ak-110v/p/1516550716
1508912160,Refrigerador Bottom Freezer Inverter Panasonic de 02 Portas Frost Free com 425 Litros e Painel Easy Touch Preto - BB53,https://www.extra.com.br/refrigerador-bottom-freezer-inverter-panasonic-de-02-portas-frost-free-com-425-litros-e-painel-easy-touch-preto-bb53/p/1508912160
1504348227,Geladeira Electrolux Frost Free 2 Portas DFN41 371 Litros Branca,https://www.extra.com.br/geladeira-electrolux-frost-free-2-portas-dfn41-371-litros-branca/p/1504348227
15130245,Refrigerador Frost Free 310 Litros Platinum (TF39S),https://www.extra.com.br/refrigerador-frost-free-310-litros-platinum-tf39s/p/15130245
1504269341,Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR-BT40B 387 Litros Aço Escovado,https://www.extra.com.br/geladeira-refrigerador-panasonic-frost-free-2-portas-nr-bt40b-387-litros-aco-escovado/p/1504269341
13416447,Geladeira Consul 261L Degelo Seco CRA30F - Branco,https://www.extra.com.br/geladeira-consul-261l-degelo-seco-cra30f-branco/p/13416447
